format_id,type_service,platform,format_name,example_url,description,max_reach,min_budget,discount,buy_model,cpm_min,cpm_max,cpm_avg,cpc_min,cpc_max,cpc_avg,cpv_min,cpv_max,cpv_avg,ctr_min,ctr_max,ctr_avg,vtr_min,vtr_max,vtr_avg,viewability_min,viewability_max,viewability_avg,verification_pixel,verification_js,verification_terms,commission,bls,sales_lift,bls_terms,sales_lift_terms,seasonality_terms,technical_requirements_url,mediakit_url,cases_url
BZ001,Full-service,Buzzoola,Super-roll,https://disk.yandex.ru/d/i_rrIq-9m0Hsag,"Формат с повышенными метриками: CTR 2–3%, досмотры более 80%, высокий пост-клик. Эффективность достигается за счет арбитража инвентаря и ML-моделей. Размещение в онлайн-кинотеатрах с приоритетом показа и расширенной сетью паблишеров. Используется предиктивная модель DSP для отдачи показов в более кликабельные плейсменты. CTR выше, чем у классического pre-roll",6824081,500000,0.15,CPM,450,450,450,,,,,,,0.02,0.02,0.025,0.50,0.85,0.70,0.80,0.90,0.85,TRUE,TRUE,,0.45,TRUE,FALSE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽",,,https://docs.buzzoola.com/advertisers/requirements/preroll,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,
BZ002,Full-service,Buzzoola,Pre-Roll,https://disk.yandex.ru/d/i_rrIq-9m0Hsag,"Видео перед контентом площадки. Оптимальный хронометраж 10–15 секунд. Ключевые метрики: CTR, VTR, охват. Список сайтов динамический, часть паблишеров использует дополнительные домены и библиотеки контента",70688511,300000,0.15,CPM,250,250,250,,,,,,,0.01,0.01,0.01,0.50,0.85,0.70,0.85,0.95,0.90,TRUE,TRUE,,0.45,TRUE,TRUE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽","Бесплатно от 3,5 млн ₽ + пакеты ОФД; период РК: от 2 недель (рекомендуется 1–1,5 месяца); настройка: 5–7 дней до старта; CPM: 288 ₽ без НДС; пакет 6 млн чеков: 110 000 net; пакет 10 млн чеков: 140 000 net; количество пакетов определяется по SKU; стоимость пакетов невозвратная",,https://docs.buzzoola.com/advertisers/requirements/preroll,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,https://disk.360.yandex.ru/i/bAnP5JRgxnrApw
BZ003,Full-service,Buzzoola,Pre-Roll (Smart TV),https://demo.buzzoola.com/smarttv,"Видео перед запуском просмотра эфирного канала. Возможен показ одного или нескольких роликов в блоке. В подписочном контенте реклама не показывается. Хронометраж 10–15 секунд, максимум 20. Решает задачи awareness",,300000,0.15,CPM,230,230,230,,,,,,,,,,0.50,0.90,0.69375,0.85,0.90,0.875,TRUE,FALSE,,0.45,TRUE,TRUE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽","Бесплатно от 3,5 млн ₽ + пакеты ОФД; период РК: от 2 недель (рекомендуется 1–1,5 месяца); настройка: 5–7 дней до старта; CPM: 288 ₽ без НДС; пакет 6 млн чеков: 110 000 net; пакет 10 млн чеков: 140 000 net; количество пакетов определяется по SKU; стоимость пакетов невозвратная",,https://docs.buzzoola.com/advertisers/requirements/preroll_smart_tv,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,https://disk.360.yandex.ru/i/G4CjPWTcvRuQOQ
BZ004,Full-service,Buzzoola,Shoppable Ads,https://demo.buzzoola.com/desktop/banner,"Десктопный pre-roll с дополнительными слоями: товарная или продуктовая карусель, кнопка call-to-action. Карусель до 10 карточек, возможна вертикальная или горизонтальная. Карточки содержат картинку, текст, цену, кнопку действия и имеют отдельные ссылки. Переключение скроллом или при наведении",32822755,300000,0.15,CPM,450,450,450,,,,,,,0.01,0.01,0.01,0.15,0.45,0.2875,0.80,0.90,0.85,TRUE,FALSE,,0.45,TRUE,FALSE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽",,,https://docs.buzzoola.com/advertisers/requirements/shoppable_ads,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,https://disk.360.yandex.ru/i/j1zD80JoCtlWQQ
BZ005,Full-service,Buzzoola,In-Read Video,https://demo.buzzoola.com/desktop/inread_video_standart/sts,"Видео внутри редакционных материалов премиальных площадок. Запускается без звука, включение по клику. Оптимальный хронометраж 10–15 секунд. Возможна кастомизация: лого, текст над плеером, кнопка call-to-action. Решает задачи awareness",47546774,300000,0.15,CPM,300,300,300,,,,,,,0.002,0.002,0.002,,,,0.60,0.70,0.65,TRUE,FALSE,,0.45,TRUE,FALSE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽",,,https://docs.buzzoola.com/advertisers/requirements/inread_video,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,
BZ006,Full-service,Buzzoola,In-Read Banner,https://demo.buzzoola.com/mobile/inread_banner/yandex_go_ultima,Баннер внутри статей премиальных площадок. При скролле отображается статичное изображение или анимация. Решает задачи awareness,47546774,300000,0.15,CPM,300,300,300,,,,,,,0.002,0.002,0.002,,,,0.60,0.70,0.65,TRUE,FALSE,,0.45,TRUE,FALSE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽",,,https://docs.buzzoola.com/advertisers/requirements/banner,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,
BZ007,Full-service,Buzzoola,Banner,https://demo.buzzoola.com/desktop/banner/melaksen,Баннерные размещения на широкой сети площадок. Поддерживаются статичные и анимационные форматы,20926619,300000,0.15,CPM,120,120,120,,,,,,,0.001,0.001,0.001,,,,0.50,0.60,0.55,TRUE,TRUE,,0.45,TRUE,FALSE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽",,,https://docs.buzzoola.com/advertisers/requirements/banner,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,
BZ008,Full-service,Buzzoola,Banner (White list),https://demo.buzzoola.com/desktop/banner/melaksen,Баннерные размещения по white list. Поддерживаются статичные и анимационные форматы,20926619,300000,0.15,CPM,120,120,120,,,,,,,0.001,0.001,0.001,,,,0.50,0.60,0.55,TRUE,TRUE,,0.45,TRUE,FALSE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽",,,https://docs.buzzoola.com/advertisers/requirements/banner,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,
BZ009,Full-service,Buzzoola,Mobile Native Unit,https://demo.buzzoola.com/wrap/#MobileNativeUnit,"Встроенный в дизайн ленты новостей мобильных сайтов. Размещается в блоках рекомендованных статей и редакционных материалов. Решает задачи performance и e-commerce. Ключевые метрики: пост-клик, охват",42462872,300000,0.15,CPM,270,270,270,,,,,,,0.004,0.004,0.004,,,,0.65,0.75,0.70,TRUE,FALSE,,0.45,TRUE,FALSE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽",,,https://docs.buzzoola.com/advertisers/requirements/mobile_native_unit,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,https://disk.360.yandex.ru/i/iaHZc_PLq26Eow
BZ010,Full-service,Buzzoola,Mobile Native Carousel,https://demo.buzzoola.com/wrap/#MobileNativeCarousel,"Карусель из пяти слайдов, интегрированная в ленту новостей мобильных сайтов. Демонстрирует несколько товаров или один товар с разных сторон. Адаптируется под верстку площадки. Эффективен для переходов и покупок",20908608,300000,0.15,CPM,350,350,350,,,,,,,0.002,0.002,0.002,,,,0.65,0.75,0.70,TRUE,FALSE,,0.45,TRUE,FALSE,"Бесплатно от 1,2 млн ₽ при РК от 2 недель до 1 месяца; менее 1,2 млн ₽: +200 000 ₽",,,https://docs.buzzoola.com/advertisers/requirements/mobile_native_carousel,https://disk.360.yandex.ru/i/r9v5NIZo001gfw,https://disk.360.yandex.ru/d/jIEs9MiweTu9MA
